site.code,thalweg.elevation,spill.elevation,distance.to.bottom,distance.to.downstream,distance.to.downstream.structure,gradient,pi.gradient,topbank.elevation,ds.step.for.grad,us.step.for.grad,WKT
LM0,745.37,745.37,-454,,,,,749,LM0,LM1,"MULTILINESTRING ((735499.885640934 6087974.79022697,735545.875691494 6087954.28745327))"
LM1,748.3,748.6,0,454,0,0.0025,0.0025,751.3,LM0,LM3,"MULTILINESTRING ((735291.149296062 6087628.76765715,735346.518529727 6087659.94193157))"
LM3,749.7,749.7,479,479,479,0.0025,0.0025,753,LM1,LM4.2,"MULTILINESTRING ((735253.237825678 6087161.30242978,735309.568496597 6087130.29583736))"
LM4.2,751.3,751.7,970,491,19,0.015157895,0.021052632,754.7,LM3,LM5,"MULTILINESTRING ((734988.104846546 6086785.65669139,735031.7130364 6086804.9030305))"
LM4.3,751.3,752.1,1013,43,43,0,0.009302326,754.8,LM3,LM5,"MULTILINESTRING ((735002.994052238 6086746.57252645,735041.864984554 6086762.63275911))"
LM5,751.6,752.5,1150,137,137,0.002189781,0.002919708,755,LM4.2,LM6,"MULTILINESTRING ((734975.542079244 6086651.65384016,735023.471784535 6086620.99519155))"
LM6,752,752.9,1384,234,234,0.001709402,0.001709402,755.9,LM5,LM8,"MULTILINESTRING ((734884.694660143 6086426.570926,734923.074883271 6086422.08592174))"
LM7,752.75,753.5,1476,92,92,0.008152174,0.006521739,756,LM5,LM8,"MULTILINESTRING ((734849.62278122 6086358.66549617,734890.17342289 6086331.24775838))"
LM8,753.5,754.1,1612,136,136,0.005514706,0.004411765,756.1,LM7,LM9,"MULTILINESTRING ((734747.873183351 6086268.54451734,734801.448165581 6086248.63437478))"
LM9,754,754.7,1738,126,126,0.003968254,0.004761905,756.6,LM8,LM10,"MULTILINESTRING ((734791.970275501 6086135.91991893,734835.476327033 6086172.85069713))"
LM10,754.57,755.3,1949,211,211,0.002701422,0.002843602,756,LM9,LM13,"MULTILINESTRING ((734933.827398097 6085973.11482753,734968.655574511 6086018.97032971))"
LM11,755,755.9,2006,57,57,0.00754386,0.010526316,757.2,LM9,LM13,"MULTILINESTRING ((734984.668443188 6085940.94437693,735014.562080415 6085989.46345742))"
LM12,755.36,756.5,2134,128,128,0.0028125,0.0046875,758.7,LM10,LM13,"MULTILINESTRING ((735016.371072975 6085857.98938367,735061.163610977 6085858.04260744))"
LM13,756.38,757.1,2452,318,318,0.003207547,0.001886792,759,LM12,LM15,"MULTILINESTRING ((734811.184935988 6085719.67878727,734828.879593131 6085673.1625036))"
LM14,756.95,757.7,2633,181,181,0.003149171,0.003314917,760,LM12,LM15,"MULTILINESTRING ((734687.544063557 6085738.41799784,734637.53144331 6085739.61289395))"
LM15,757.33,758.3,2706,73,73,0.005205479,0.008219178,760.2,LM13,LM16C3,"MULTILINESTRING ((734704.857937205 6085794.06881372,734672.107736347 6085818.3702214))"
LM16C3,758.3,758.9,2930,224,224,0.004330357,0.002678571,761.4,LM15,LM18,"MULTILINESTRING ((734600.200325617 6085955.75795698,734594.151585805 6085907.83332616))"
LM17,758.85,759.5,2970,40,40,0.01375,0.015,761.4,LM15,LM18,"MULTILINESTRING ((734559.429536771 6085962.84483608,734556.570189166 6085914.13608513))"
LM18,759.8,759.8,3414,444,357,,,761.6,LM17,LM18,"MULTILINESTRING ((734399.562602311 6085701.98252391,734449.054250085 6085725.69154706))"
